County,Area_name,Area_ID,Area_name_coord,Area_name_with_coord_or_not,Area_range,Area_plot_method,Ban,Ban_period,Publish_law,Transgress_law,Fishery_type,Conservation_type,Conservation_level
台東縣,台東縣沿岸海域,37,"小港人工魚礁禁漁區：
N23°10'00”；E121°24'30”",Yes,926,半徑,以中心位置經緯度為中心，半徑0.5浬範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,38,"大武（一）保護礁禁漁區：
A點N22°18'00”；E121°54'00”
B點N22°19'48”；E121°54'24”",Yes,1000,AB線左右,以A、B兩點所連成之標示直線周圍1，000公尺範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,39,"大武（二）保護礁禁漁區：
A點N22°19'48”；E120°54'24”
B點N22°21'12”；E120°54'50”",Yes,1000,AB線左右,以A、B兩點所連成之標示直線周圍1，000公尺範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣沿岸海域,40,"大武（三）保護礁禁漁區：
A點N22°20'24”；E120°56'00”
B點N22°19'00”；E120°56'00”",Yes,1000,AB線左右,以A、B兩點所連成之標示直線周圍1，000公尺範圍以內，凡使用網具類漁具之漁船均不得進入該禁漁區範圍內作業。,全年,漁業法第44條第4款,漁業法第65條第5款,"所有網具
",人工魚礁、保護礁,多功能使用區
台東縣,台東縣蘭嶼鄉沿岸海域,41,n/a,n/a,5556,n/a,"1.每年二月一日至七月三十一日，除無動力漁船筏外，禁止於蘭嶼沿岸三浬海域內（以蘭嶼本島海岸線為基線，向外海延伸三浬；以下同）採捕飛魚。另禁止十噸以上漁船於六浬海域內採捕飛魚。
2.使用扒網、焚寄網及棒受網等燈火漁業漁船禁止於蘭嶼沿岸六浬海域內作業。
3.蘭嶼沿岸十二浬海域內禁止採捕珊瑚(含珊瑚礁)。",每年2月1日至7月31日/全年,漁業法第44條第1、4款,漁業法第65條第5款或第10條,"燈火

",珊瑚礁、特定生物,多功能使用區
台東縣,台東縣成功鎮沿岸海域,42,"宜灣漁業資源保育區：
A1點N23°12'20.7”；E121°23'47.4”
A2點N23°12'19.2”；E121°23'54.1”
A3點N23°11'22.9”；E121°23'51.2”
A4點N23°11'23.9”；E121°23'58.1”",Yes,200,AB以南，CD以北,本縣成功鎮宜灣(A1)起至重安(A3)間，由A1至A2連線以南，A3至A4連線以北，自低潮線向外海延伸二ＯＯ公尺沿岸水域，海岸線長約三公里，全年禁止採捕龍蝦、九孔。,全年,漁業法第44條第4、9款及第45條,漁業法第65條第5款,n/a,特定生物、漁業資源保育區,多功能使用區
台東縣,台東縣成功鎮沿岸海域,43,"小港漁業資源保育區：
B1點N23°10'11.9”；E121°24'16.2”
B2點N23°10'15.2”；E121°24'22.3”
B3點N23°09'30.6”；E121°24'18”
B4點N2309，27.4”；E12124，24”",Yes,200,AB以南，CD以北,本縣成功鎮玉水橋(B1)至小港(B3)，由B1至B2連線以南，B3至B4連線以北，自低潮線向外海延伸二ＯＯ公尺沿岸水域，海岸線長約二.五公里，全年禁止採捕龍蝦、九孔。,全年,漁業法第44條第4、9款及第45條,漁業法第65條第5款,n/a,特定生物、漁業資源保育區,多功能使用區
台東縣,台東縣成功鎮沿岸海域,44,"小馬漁業資源保育區：
C1點Ｎ23°01'12.6”；Ｅ121°20'10.3”
C2點Ｎ23°01'14.1”；Ｅ121°20'17.1”
C3點Ｎ22°59'58.6”；Ｅ121°19'16.3”
C4點Ｎ22°59'58”；Ｅ12119，23.4”",Yes,200,AB以南，CD以北,本縣成功鎮都歷(C1)起至小馬(C3)間，由C1至C2連線以南，C3至C4連線以北，自低潮線向外海延伸二ＯＯ公尺沿岸水域，海岸線長約五公里，全年禁止採捕龍蝦、九孔。,全年,漁業法第44條第4、9款及第45條,漁業法第65條第5款,n/a,特定生物、漁業資源保育區,多功能使用區
台東縣,柴口浮潛區潛水步道西約400公尺(A1)起至柴口浮潛區潛水步道東約100公尺(A3)間，由A1至A2連線以東，A3至A4連線以西，自平均高潮線向外海延伸至相對於平均低潮線向外海延伸約100公尺沿岸水域,45,"柴口分區：
A1：N22°40'30.3”；E121°28'44.0”
A2：N22°40'37.1”；E121°28'45.7”
A3：N22°40'38.2”；E121°29'01.0”
A4：N22°40'44.0”；E121°28'56.1”",Yes,n/a,ABCD內,"1.保育對象：各類水產動植物。
2.於本保育區內禁止使用任何方式採捕或危害保育對象，基於學術研究目的或其他必要事項，經本府許可者，不在此限。
3.於本保育區內禁止攜帶水肺採捕各分區之非保育對象。
4.於本保育區內從事各項觀光、遊憩、漁撈活動或進行開發等，不得有破壞海洋生物棲地環境之行為。",全年,漁業法第44條第4、7、9款及第45條,漁業法第65條第5款或第10條,所有漁具漁法,特定生物、漁業資源保育區,多功能使用區、完全禁漁區
台東縣,南寮漁港-南方防波堤(B1)起至石朗浮潛區潛水步道-南約300公尺(B8)間，由B1至B8連線所圍之海域。B4至B5連線距離平均高潮線約290公尺,46,"石朗分區：
B1：N22°39'33.2”；E121°28'27.4”
B2：N22°39'33.1”；E121°28'24.2”
B3：N22°39'28.4”；E121°28'24.2”
B4：N22°39'26.8”；E121°28'18.2”
B5：N22°39'23.8”；E121°28'18.2”
B6：N22°39'22.2”；E121°28'22.3”
B7：N22°39'08.2”；E121°28'22.3”
B8：N22°39'07.9”；E121°28'28.1”",Yes,300,A至H線,"1.保育對象：各類水產動植物。
2.於本保育區內禁止使用任何方式採捕或危害保育對象，基於學術研究目的或其他必要事項，經本府許可者，不在此限。
3.於本保育區內禁止攜帶水肺採捕各分區之非保育對象。
4.於本保育區內從事各項觀光、遊憩、漁撈活動或進行開發等，不得有破壞海洋生物棲地環境之行為。",全年,漁業法第44條第4、7、9款及第45條,漁業法第65條第5款或第10條,所有漁具漁法,特定生物、漁業資源保育區,多功能使用區、完全禁漁區
